"doi","date","times.cited"
"10.1128/AEM.02395-09","2010-04",11
"10.1128/AEM.02545-09","2010-04",26
"10.1128/AEM.02717-09","2010-04",28
"10.1128/IAI.01195-09","2010-04",15
"10.1128/IAI.01297-09","2010-04",52
"10.1128/IAI.01339-09","2010-04",14
"10.1128/MCB.00810-09","2010-04",21
"10.1128/MCB.00038-09","2010-04",24
"10.1128/MCB.01003-09","2010-04",13
"10.1128/MCB.00996-09","2010-04",39
"10.1128/MCB.01071-09","2010-04",17
"10.1128/MCB.01100-09","2010-04",25
"10.1128/MCB.01301-09","2010-04",40
"10.1128/MCB.01342-09","2010-04",13
"10.1128/MCB.01226-09","2010-04",42
"10.1128/MCB.01357-09","2010-04",18
"10.1128/MCB.01434-09","2010-04",22
"10.1128/MCB.01529-09","2010-04",20
"10.1128/MCB.01602-09","2010-04",82
"10.1128/AAC.01671-09","2010-04",22
"10.1128/AAC.01688-09","2010-04",12
"10.1128/AAC.01821-09","2010-04",7
"10.1128/AAC.00854-09","2010-04",64
"10.1128/AAC.01252-09","2010-04",4
"10.1128/JCM.00035-10","2010-04",4
"10.1128/JCM.01409-09","2010-04",31
"10.1128/JCM.01620-09","2010-04",7
"10.1128/JCM.01892-09","2010-05",34
"10.1128/JCM.01928-09","2010-04",47
"10.1128/JCM.01975-09","2010-04",8
"10.1128/JCM.02363-09","2010-04",35
"10.1128/CVI.00145-09","2010-04",22
"10.1128/CVI.00380-09","2010-04",4
"10.1128/CVI.00365-09","2010-04",15
"10.1128/CVI.00516-09","2010-04",8
"10.1128/JB.00988-09","2010-04",14
"10.1128/JB.00990-09","2010-04",9
"10.1128/JB.01129-09","2010-04",24
"10.1128/JB.01135-09","2010-04",23
"10.1128/JB.01222-09","2010-04",50
"10.1128/JB.01510-09","2010-04",25
"10.1128/JB.01661-09","2010-04",9
"10.1128/AEM.00026-10","2010-04",35
"10.1128/AEM.01285-09","2010-04",52
"10.1128/AEM.01878-09","2010-04",78
"10.1128/AEM.02183-09","2010-04",23
"10.1128/AEM.02187-09","2010-04",63
"10.1128/AEM.02224-09","2010-04",13
"10.1128/AEM.02246-09","2010-04",28
"10.1128/AEM.02434-09","2010-04",27
"10.1128/JB.00484-09","2010-04",30
"10.1128/JB.01035-09","2010-03",15
"10.1128/JB.01048-09","2010-03",20
"10.1128/JB.01167-09","2010-03",30
"10.1128/JB.01208-09","2010-03",8
"10.1128/JB.01211-09","2010-03",13
"10.1128/JB.01216-09","2010-03",32
"10.1128/JB.01269-09","2010-03",6
"10.1128/JB.01285-09","2010-03",52
"10.1128/JB.01336-09","2010-03",9
"10.1128/JB.01372-09","2010-03",15
"10.1128/JB.01377-09","2010-03",28
"10.1128/EC.00268-09","2010-07",18
"10.1128/AEM.01455-09","2010-03",11
"10.1128/AEM.01736-09","2010-03",58
"10.1128/AEM.02033-09","2010-03",46
"10.1128/AEM.02072-09","2010-03",19
"10.1128/AEM.02173-09","2010-03",18
"10.1128/AEM.02249-09","2010-03",70
"10.1128/AEM.02400-09","2010-03",10
"10.1128/AEM.02461-09","2010-03",60
"10.1128/AEM.02788-09","2010-03",42
"10.1128/JB.01391-09","2010-03",26
"10.1128/JB.01420-09","2010-03",0
"10.1128/JB.01424-09","2010-03",14
"10.1128/JB.01453-09","2010-03",25
"10.1128/JB.01506-09","2010-03",5
"10.1128/JB.01662-09","2010-03",1
"10.1128/JB.01518-09","2010-03",42
"10.1128/CMR.00031-09","2010-01",55
"10.1128/CMR.00026-09","2010-01",92
"10.1128/CMR.00053-09","2010-01",50
"10.1128/IAI.01188-09","2010-03",18
"10.1128/MCB.00710-09","2010-03",33
"10.1128/IAI.01274-09","2010-04",17
"10.1128/MCB.01002-09","2010-03",26
"10.1128/MCB.01076-09","2010-03",56
"10.1128/MCB.01151-09","2010-03",17
"10.1128/MCB.01231-09","2010-03",20
"10.1128/MCB.01149-09","2010-03",34
"10.1128/MCB.01290-09","2010-03",81
"10.1128/MCB.01018-09","2010-03",15
"10.1128/MCB.01384-09","2010-03",143
"10.1128/IAI.00794-09","2010-03",5
"10.1128/IAI.00969-09","2010-03",10
"10.1128/IAI.00976-09","2010-03",36
"10.1128/IAI.01012-09","2010-03",16
"10.1128/IAI.01031-09","2010-03",27
"10.1128/IAI.01115-09","2010-03",22
"10.1128/IAI.01141-09","2010-03",13
"10.1128/MCB.00741-09","2010-03",84
"10.1128/IAI.01207-09","2010-03",26
"10.1128/MCB.01463-09","2010-03",37
"10.1128/MCB.01481-09","2010-03",69
"10.1128/AAC.00530-09","2010-03",8
"10.1128/AAC.00812-09","2010-03",29
"10.1128/AAC.00906-09","2010-04",111
"10.1128/AAC.00915-09","2010-03",13
"10.1128/AAC.00936-09","2010-03",17
"10.1128/AAC.00970-09","2010-03",21
"10.1128/AAC.01161-09","2010-03",6
"10.1128/AAC.01208-09","2010-03",18
"10.1128/AAC.01268-09","2010-03",19
"10.1128/AAC.01321-09","2010-03",22
"10.1128/AAC.01412-09","2010-03",52
"10.1128/AAC.01445-09","2010-03",12
"10.1128/AAC.01561-09","2010-03",12
"10.1128/JCM.02150-09","2010-03",31
"10.1128/JCM.02207-09","2010-04",33
"10.1128/JCM.02262-09","2010-03",21
"10.1128/JCM.02516-09","2010-03",46
"10.1128/JVI.01715-09","2010-04",26
"10.1128/JVI.01655-09","2010-03",7
"10.1128/JVI.01726-09","2010-03",5
"10.1128/JVI.01948-09","2010-03",6
"10.1128/JVI.01734-09","2010-03",12
"10.1128/JVI.01925-09","2010-04",10
"10.1128/JVI.01959-09","2010-04",15
"10.1128/JVI.01964-09","2010-04",20
"10.1128/JVI.01997-09","2010-03",122
"10.1128/JVI.01980-09","2010-03",29
"10.1128/JVI.02099-09","2010-04",22
"10.1128/JVI.02130-09","2010-04",44
"10.1128/JVI.02175-09","2010-04",40
"10.1128/JVI.02203-09","2010-03",90
"10.1128/JVI.02219-09","2010-03",71
"10.1128/CVI.00420-09","2010-03",6
"10.1128/CVI.00479-09","2010-03",15
"10.1128/CVI.00487-09","2010-03",13
"10.1128/CVI.00503-09","2010-03",24
"10.1128/JCM.01355-09","2010-03",10
"10.1128/JCM.01435-09","2010-03",41
"10.1128/JCM.01481-09","2010-03",43
"10.1128/JCM.01381-09","2010-03",7
"10.1128/JCM.01482-09","2010-03",12
"10.1128/JCM.01990-09","2010-03",12
"10.1128/JCM.02075-09","2010-03",27
"10.1128/JVI.02226-09","2010-04",64
"10.1128/JVI.02240-09","2010-04",26
"10.1128/JVI.02241-09","2010-04",62
"10.1128/JVI.02274-09","2010-04",15
"10.1128/JVI.02304-09","2010-04",46
"10.1128/JVI.02326-09","2010-03",21
"10.1128/JVI.02362-09","2010-04",23
"10.1128/JVI.02459-09","2010-03",69
"10.1128/JVI.02519-09","2010-04",19
"10.1128/JVI.02620-08","2010-03",13
"10.1128/JVI.02622-09","2010-04",45
"10.1128/JCM.01642-09","2010-03",9
"10.1128/JCM.01801-09","2010-03",141
"10.1128/JCM.01988-09","2010-03",45
"10.1128/JCM.02012-09","2010-03",27
"10.1128/AEM.01968-09","2010-03",30
"10.1128/AEM.01657-09","2010-03",5
"10.1128/AEM.02174-09","2010-03",16
"10.1128/AEM.01395-09","2010-03",29
"10.1128/AEM.01937-09","2010-03",24
"10.1128/AEM.02124-09","2010-03",14
"10.1128/AEM.02135-09","2010-03",25
"10.1128/AEM.02169-09","2010-03",90
"10.1128/AEM.02274-09","2010-03",23
"10.1128/AEM.02336-09","2010-03",41
"10.1128/AEM.02305-09","2010-03",32
"10.1128/AEM.02320-09","2010-03",10
"10.1128/AEM.02681-09","2010-03",13
"10.1128/AEM.02468-09","2010-03",6
"10.1128/AEM.03153-09","2010-03",23
"10.1128/JB.00726-09","2010-03",11
"10.1128/JB.01007-09","2010-03",15
"10.1128/JB.01165-09","2010-03",12
"10.1128/JB.01434-09","2010-03",15
"10.1128/JB.01481-09","2010-03",8
