article_id	altmetric	altmetric_pct
000026	35.5	96
000042	16.85	94
000067	34.7	96
000075	0.25	1
000091	0	0
000109	2.25	59
000125	11.68	91
000141	21.78	95
000158	14.748	92
000208	12.248	92
000216	25.498	95
000224	2.6	59
000240	11.498	91
000257	12	91
000265	7.25	86
000307	8.248	87
000315	2.35	60
000349	0.5	16
000364	1.25	47
000380	0	0
000398	0.75	29
000406	0.5	16
000414	11.598	91
000422	29.294	96
000430	0	0
000448	0.25	1
000455	0	0
000489	1.85	55
000497	0	0
000513	0.25	1
000521	1.75	53
000547	1.5	51
000562	0	0
000570	5.2	81
000588	35.9	97
000604	0.25	1
000638	0	0
000653	9	89
000661	10.748	91
000679	0.5	16
000687	46.972	97
000711	0	0
000745	0	0
000752	27.648	96
000760	17.95	94
000778	1.25	47
000786	1	28
000802	26.59	95
000836	0	0
000844	0	0
000851	34.598	96
000869	9.4	89
000885	0	0
000893	0	0
000919	1	33
000927	1.5	51
000935	0.5	16
000943	2	54
000950	8.9	89
000968	0	0
000984	0	0
000992	2.35	60
001008	3.1	75
001016	18.098	94
001024	3.2	76
001032	0	0
001040	10.998	90
001065	1.5	51
001073	13.248	92
001081	15.9	94
001099	18.428	95
001107	4.75	80
001123	0	0
001156	1	33
001172	15.998	94
001198	27.448	96
001214	32.55	96
001230	1	33
001248	6.95	84
001255	0.75	29
001263	3.85	76
001289	7.9	87
001297	0.75	29
001305	3	63
001321	2.75	62
001347	21.148	95
001354	10.498	90
001362	14.498	93
001370	40.55	97
001388	32.93	96
001396	2.1	58
001404	0.25	1
001438	0	0
001446	0	0
001453	15.498	93
001461	0.25	1
001479	29.694	96
001487	1.6	54
001495	6.65	85
001511	13.698	93
001529	2.75	62
001537	3.95	79
001545	3.75	76
001552	204.806	99
001586	0	0
001594	6.35	85
001602	3.1	77
001610	4.4	80
001636	0	0
001651	1.25	53
001669	1.75	59
001677	17.786	93
001685	5.45	83
001693	2	61
001701	12.08	91
001719	0	0
001727	5.1	81
001735	1	33
001743	3.25	77
001750	1.5	51
001768	0.75	29
001776	5.2	83
001784	15.348	93
001792	27.348	95
001800	3.95	79
001818	0	0
001826	2	54
001834	85.004	98
001842	0	0
001867	0	0
001875	0.25	1
001883	0.75	29
001891	13.498	93
001909	21.35	95
001917	2.95	67
001925	3.55	77
001933	3.05	77
001941	1.75	54
001958	6.75	84
001966	0	0
001974	8.248	87
001982	1.6	59
001990	0.25	1
002006	0	0
002014	10.498	90
002022	0	0
002048	0	0
002055	0.25	1
002063	7.8	86
002071	0	0
002089	1.25	47
002097	5.45	81
002105	18.098	94
002121	26.506	95
002139	1.25	48
002147	0	0
002170	0	0
002188	1	28
002196	0.75	26
002204	3.1	75
002238	32.398	97
002261	32.998	96
002279	25.6	96
002287	8	88
002295	0	0
002303	0.25	1
002311	0	0
002329	0	0
002337	2.5	60
002345	18.798	94
002352	1	28
002360	0	0
002378	8.782	88
002386	35.548	97
002410	2.1	59
002428	12.498	92
002436	1	33
002444	1.5	51
002451	8.248	87
002469	25.8	96
002485	23.748	95
002493	10.998	91
