article_id	altmetric	altmetric_pct	date
aac.00001-10	1	28	NA
aac.00001-13	0	0	NA
aac.00002-14	0	0	NA
aac.00003-12	0	0	NA
aac.00003-15	0.5	13	NA
aac.00004-14	0.25	1	NA
aac.00004-15	0	0	NA
aac.00004-17	0	0	NA
aac.00005-16	7	85	NA
aac.00006-10	0	0	NA
aac.00006-16	10.5	90	NA
aac.00007-10	0	0	NA
aac.00007-13	0	0	NA
aac.00007-16	9.25	89	NA
aac.00008-10	2	54	NA
aac.00008-11	0	0	NA
aac.00009-10	0	0	NA
aac.00009-11	0	0	NA
aac.00009-13	0	0	NA
aac.00009-14	0.5	14	NA
aac.00009-16	9.75	90	NA
aac.00009-17	0	0	NA
aac.00010-10	0	0	NA
aac.00010-11	1	33	NA
aac.00010-17	0.5	13	NA
aac.00011-10	0	0	NA
aac.00011-12	0	0	NA
aac.00011-16	11	91	NA
aac.00012-10	0	0	NA
aac.00012-11	0	0	NA
aac.00013-11	1.75	54	NA
aac.00013-12	0	0	NA
aac.00013-14	0.25	1	NA
aac.00014-10	1	25	NA
aac.00014-15	1.5	51	NA
aac.00014-16	10.5	91	NA
aac.00014-17	0	0	NA
aac.00015-12	0	0	NA
aac.00015-15	0	0	NA
aac.00016-11	3	63	NA
aac.00016-14	0	0	NA
aac.00017-11	0	0	NA
aac.00017-15	1.5	52	NA
aac.00018-12	0.25	2	NA
aac.00018-14	0	0	NA
aac.00018-17	1.25	48	NA
aac.00019-10	0	0	2010-05
aac.00019-11	0	0	NA
aac.00019-12	0	0	NA
aac.00019-15	3.2	76	NA
aac.00019-17	10	90	NA
aac.00020-11	0	0	NA
aac.00020-12	0	0	NA
aac.00020-13	1	25	NA
aac.00021-10	0	0	NA
aac.00021-12	0	0	NA
aac.00021-13	0	0	NA
aac.00021-14	1	33	NA
aac.00021-15	1	29	NA
aac.00021-16	14	93	NA
aac.00022-10	0	0	NA
aac.00022-11	0	0	NA
aac.00022-14	0	0	NA
aac.00023-13	0	0	NA
aac.00024-11	0	0	NA
aac.00025-11	0	0	NA
aac.00025-12	2.6	63	NA
aac.00025-14	2.35	62	NA
aac.00025-17	1.75	54	NA
aac.00026-10	0	0	NA
aac.00026-15	3.75	78	NA
aac.00026-16	9.5	89	NA
aac.00027-10	1.35	51	NA
aac.00027-12	0	0	NA
aac.00027-15	1	29	NA
aac.00028-12	0	0	NA
aac.00029-10	0	0	NA
aac.00029-11	3	63	NA
aac.00029-13	0	0	NA
aac.00029-15	5.55	83	NA
aac.00030-11	0.25	2	NA
aac.00030-12	1	33	NA
aac.00031-16	102	99	NA
aac.00032-10	0	0	NA
aac.00032-11	0	0	NA
aac.00032-13	0	0	NA
aac.00032-15	0.5	13	NA
aac.00033-10	0	0	NA
aac.00033-11	0	0	NA
aac.00033-14	0.25	2	NA
aac.00033-15	0.75	29	NA
aac.00034-11	2	57	NA
aac.00035-12	0	0	NA
aac.00035-16	10.25	90	NA
aac.00036-10	0	0	NA
aac.00036-12	1.5	53	NA
aac.00037-14	0.25	1	NA
aac.00037-17	0	0	NA
aac.00038-12	1.75	54	NA
aac.00038-14	0.5	16	NA
aac.00038-16	10	90	NA
aac.00039-10	0	0	NA
aac.00039-12	0	0	NA
aac.00039-13	2.2	59	NA
aac.00039-16	19.1	95	NA
aac.00040-14	1.25	47	NA
aac.00040-15	0.5	13	NA
aac.00041-10	0	0	NA
aac.00041-11	0	0	NA
